Date/Time,Media Description,Media Link
"You uploaded a video on September 30, 2025 at 2:11 AM (GMT)", -,https://dms.licdn.com/playlist/vid/v2/D5612AQFfS2REJUz8EA/mp4-720p-30fp-crf28/B56ZmYY6PBG0As-/0/1759198431152?e=1789603200&v=beta&t=UkyMByIraiMdUmpRYEKYoUWPiQiTXgaaSBWk5bQptYg
"You uploaded a video on September 30, 2025 at 1:21 AM (GMT)", -,https://dms.licdn.com/playlist/vid/v2/D5605AQGWGfojMJ33gQ/mp4-720p-30fp-crf28/B56ZmYNYABKABk-/0/1759195613210?e=1788602400&v=beta&t=Ph5R-ZQx8BvOIqXzz_8OqeL2BVETr2k73WFHbr4Edyg
"You uploaded a video on September 8, 2025 at 4:58 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D5605AQHNQi6h1AUtLQ/CeJxzMjWLyi4MNMpz9gh0ddTVcULiuySj8dNR-a6uaHxPXQCZAhby?e=1788602400&v=beta&t=kyfRIz9GNuCCNr0QgWKifwgmzWyQjVk2WYN1g9ict7Q
"You uploaded a video on September 8, 2025 at 4:56 PM (GMT)", -,https://dms.licdn.com/playlist/vid/v2/D5605AQGn79gInUzh0A/mp4-720p-30fp-crf28/B56ZkqQfGvJ8Bw-/0/1757350637004?e=1788602400&v=beta&t=V29EtCV0OBzSr8wTv3RYUsN60SXZFsj3MNqsLkQFbK4
"You uploaded a video on September 8, 2025 at 4:52 PM (GMT)", -,https://dms.licdn.com/playlist/vid/v2/D5612AQGfdB8ijkI5PA/mp4-720p-30fp-crf28/B56ZkqPno4HUAw-/0/1757350413062?e=1789603200&v=beta&t=MI8qsRHrCl0XFNG1nLHUwv_RRbkiZK79ubQ-s6LbroA
"You uploaded a video on August 19, 2025 at 6:35 AM (GMT)", -,https://dms.licdn.com/playlist/vid/v2/D5612AQEvd22c_k844w/mp4-720p-30fp-crf28/B56ZjBChosHQAs-/0/1755585336241?e=1789603200&v=beta&t=BNNAcGLQ0hMfVzT7Vz-FmW-UKgmP7usIi09Z6GGam-k
"You uploaded a video on July 8, 2025 at 4:12 PM (GMT)", -,https://dms.licdn.com/playlist/vid/v2/D5612AQHvGDph_G0b8w/mp4-720p-30fp-crf28/B56Zfqz8XHGQAs-/0/1751991213896?e=1789603200&v=beta&t=EKYcq60pvTvCzTxIywk1dlz6Bbj_PJIvrFSNW8tK0Fg
"You uploaded a video on July 8, 2025 at 12:47 AM (GMT)", -,https://dms.licdn.com/playlist/vid/v2/D5612AQGXXm68qS9ysg/mp4-720p-30fp-crf28/B56ZfngPJJGQAw-/0/1751935733445?e=1789603200&v=beta&t=dSuFQuHLBY2xw_nlb9oBHPI3xf-x6kfa6tvJ7XenbkU
"You uploaded a video on July 8, 2025 at 12:21 AM (GMT)", -,https://dms.licdn.com/playlist/vid/v2/D5612AQFGbzzJzeWBBg/mp4-720p-30fp-crf28/B56ZfnaRbuHoAs-/0/1751934177676?e=1789603200&v=beta&t=1hKwbgUZ0IwVEc0LyQUK8AUU49PWTBvPRp2YfIDknrs
"You uploaded a video on June 24, 2025 at 2:05 AM (GMT)", -,https://dms.licdn.com/playlist/vid/v2/D5612AQFyfnodIoOqQg/mp4-720p-30fp-crf28/B56ZefrwJQG0As-/0/1750730803433?e=1789603200&v=beta&t=LyEJl7YEm0fOjOU6qqp3C5CtXEWYYDjOK70l8Td38ZA
