Question,Answer
How many years of work experience do you have with Azure AI Foundry?,2
How many years of work experience do you have with Solution Implementation?,6
"Do you have the following license or certification: Insurance Agent (Health, Property, Casualty)?",No
How many years of urn:li:industry:5 experience do you currently have?,2
How many years of BD experience do you currently have?,8
How many years of work experience do you have with Complex Sales?,5
How many years of work experience do you have with Organization Skills?,10
How many years of work experience do you have with SaaS Sales?,7
How many years of work experience do you have with Utilities?,0
How many years of work experience do you have with Creator Economy?,5
How many years of work experience do you have with Building Restoration?,0
How many years of work experience do you have with Technical Sales Consulting?,2
How many years of work experience do you have with RFP Design?,0
How many years of urn:li:industry:75 experience do you currently have?,0
How many years of work experience do you have with Databases?,2
How many years of work experience do you have with Gmail?,10
How many years of work experience do you have with Azure DevOps ALM?,2
How many years of work experience do you have with Event Marketing?,4
How many years of work experience do you have with Agent Development?,4
How many years of work experience do you have with Third-Party Logistics (3PL)?,1
How many years of work experience do you have with Computer Literacy?,5
How many years of work experience do you have with Teamwork?,5
Description,
Major / Field of study,
How many years of work experience do you have with Consultative Selling?,5
How many years of work experience do you have with LinkedIn Sales Navigator?,7
How many years of work experience do you have with Microsoft Excel?,10
How many years of urn:li:industry:33 experience do you currently have?,0
How many years of work experience do you have with Tableau?,2
How many years of work experience do you have with Adobe Creative Suite?,2
How many years of work experience do you have with Hyper-V?,0
How many years of work experience do you have with M&A Integration?,0
How many years of work experience do you have with Retail Accounting?,0
How many years of work experience do you have with Strategic Communications?,0
How many years of work experience do you have with Powershell?,5
First name,
Do you have the following license or certification: urn:li:credential:20701?,No
How many years of work experience do you have with Marketing?,7
How many years of work experience do you have with Alternative Investments?,1
School,
How many years of work experience do you have with Product Demonstration?,5
How many years of work experience do you have with Executive Presentation Skills?,5
What is your level of proficiency in chi?,None
How many years of work experience do you have with Supply Chain Analytics?,0
How many years of work experience do you have with Datafaction?,0
How many years of work experience do you have with Solutions Engineering?,5
How many years of work experience do you have with Newsletter Writing?,3
City,
How many years of work experience do you have with Digital Media?,2
How many years of work experience do you have with Fleet Management Software?,2
How many years of work experience do you have with Local Government?,2
How many years of work experience do you have with P & L Oversight?,0
How many years of work experience do you have with Solar Energy?,0
How many years of work experience do you have with 3rd Party Partnerships?,1
How many years of work experience do you have with Salesforce.com Implementation?,2
How many years of work experience do you have with Technical Presentations?,5
How many years of work experience do you have with Hunting?,5
How many years of work experience do you have with Business Strategy?,5
How many years of work experience do you have with Management?,3
How many years of MGMT experience do you currently have?,2
How many years of work experience do you have with Direct Sourcing?,0
How many years of work experience do you have with Machine Learning?,2
How many years of work experience do you have with Customer Negotiations?,5
How many years of work experience do you have with Digital Marketing Agencies?,6
How many years of work experience do you have with ZoomInfo SalesOS?,5
How many years of work experience do you have with Partnership Development?,5
How many years of work experience do you have with Tradeshow Planning?,2
How many years of work experience do you have with Visual Basic for Applications (VBA)?,1
How many years of urn:li:industry:106 experience do you currently have?,2
How many years of work experience do you have with Supply Chain Software?,0
How many years of work experience do you have with Jupyter?,3
How many years of work experience do you have with Insurance Industry?,1
How many years of work experience do you have with Inbound Sales?,5
How many years of work experience do you have with Hospitality Industry?,3
How many years of work experience do you have with Data Migration?,5
How many years of urn:li:industry:123 experience do you currently have?,1
How many years of work experience do you have with Influencer Marketing?,5
How many years of work experience do you have with AI Software Development?,2
Do you have the following license or certification: Certified LabVIEW Developer?,No
Your title,
How many years of work experience do you have with C++?,3
How many years of work experience do you have with ADK?,1
How many years of work experience do you have with Construction Estimating?,0
How many years of work experience do you have with SAP ERP?,0
How many years of work experience do you have with Construction?,0
How many years of work experience do you have with Warehouse Management Systems?,0
Street address line 1,
How many years of work experience do you have with Finance?,2
How many years of work experience do you have with Continuous Integration and Continuous Delivery (CI/CD)?,4
How many years of work experience do you have with Generative AI?,3
How many years of work experience do you have with Open-Source Software?,5
How many years of work experience do you have with Microsoft Power BI?,0
How many years of work experience do you have with Sales Operations?,5
How many years of work experience do you have with Generally Accepted Accounting Principles (GAAP)?,0
